productName,HS92_code,countryTrade,worldTrade,valueRCA,sector,countryTrade_M,worldTrade_M,worldTrade_B,code,year,valuePCI
Horses,0101 HS92,$3.91M,$1.08B,0.219,Agriculture,3.91,1080,1.08,0101,1995,0.040311303
Bovine,0102 HS92,$14.5M,$5.40B,0.159,Agriculture,14.5,5400,5.4,0102,1995,-0.4371679
Swine,0103 HS92,$97.9k,$1.64B,0.0035,Agriculture,0.0979,1640,1.64,0103,1995,0.044383228
Sheep,0104 HS92,$122k,$911M,0.0091,Agriculture,0.122,911,0.911,0104,1995,-0.943006
Fowl,0105 HS92,$135k,$932M,0.0086,Agriculture,0.135,932,0.932,0105,1995,-0.11258371
Beef,0201 HS92,$1.76M,$9.77B,0.0107,Agriculture,1.76,9770,9.77,0201,1995,-0.21498123
Beef (frozen),0202 HS92,$2.40M,$5.36B,0.0268,Agriculture,2.4,5360,5.36,0202,1995,-0.9084972
Pork,0203 HS92,$1.66M,$10.7B,0.0109,Agriculture,1.66,10700,10.7,0203,1995,0.9421886
Lamb,0204 HS92,$62.9k,$2.02B,0.0019,Agriculture,0.0629,2020,2.02,0204,1995,-0.6446488
Edible offal,0206 HS92,$404k,$1.73B,0.014,Agriculture,0.404,1730,1.73,0206,1995,-0.08143033
Poultry,0207 HS92,$805k,$7.92B,0.0063,Agriculture,0.805,7920,7.92,0207,1995,0.018465463
Other meat,0208 HS92,$327k,$603M,0.0343,Agriculture,0.327,603,0.603,0208,1995,-0.20237277
Preserved meat,0210 HS92,$14.8M,$1.63B,0.543,Agriculture,14.8,1630,1.63,0210,1995,0.66951877
Live Fish,0301 HS92,$72.6k,$1.26B,0.0043,Agriculture,0.0726,1260,1.26,0301,1995,-1.5636649
"Fish, excluding fillets",0302 HS92,$587k,$5.79B,0.0067,Agriculture,0.587,5790,5.79,0302,1995,-1.5712904
"Frozen fish, excluding fillets",0303 HS92,$2.39M,$8.40B,0.0198,Agriculture,2.39,8400,8.4,0303,1995,-1.8823428
Fish fillets,0304 HS92,$895k,$5.78B,0.0106,Agriculture,0.895,5780,5.78,0304,1995,-1.6167997
Preserved fish,0305 HS92,$964k,$2.57B,0.0257,Agriculture,0.964,2570,2.57,0305,1995,-2.1113446
Crustaceans,0306 HS92,$646k,$12.1B,0.0034,Agriculture,0.646,12100,12.1,0306,1995,-2.219165
Molluscs,0307 HS92,$431k,$4.88B,0.0055,Agriculture,0.431,4880,4.88,0307,1995,-2.0336065
Milk,0401 HS92,$3.55M,$3.16B,0.0671,Agriculture,3.55,3160,3.16,0401,1995,0.36836147
"Milk, concentrated",0402 HS92,$24.2M,$8.72B,0.167,Agriculture,24.2,8720,8.72,0402,1995,-0.13979138
Fermented milk products,0403 HS92,$1.72M,$994M,0.104,Agriculture,1.72,994,0.994,0403,1995,-0.046478514
Whey,0404 HS92,$3.79M,$879M,0.257,Agriculture,3.79,879,0.879,0404,1995,0.82474416
Butter,0405 HS92,$547k,$3.72B,0.0088,Agriculture,0.547,3720,3.72,0405,1995,0.42229474
Cheese,0406 HS92,$424M,$10.6B,2.38,Agriculture,424,10600,10.6,0406,1995,0.33622897
"Eggs, in shell",0407 HS92,$67.4k,$956M,0.0042,Agriculture,0.0674,956,0.956,0407,1995,-0.5398223
Honey,0409 HS92,$1.35M,$386M,0.209,Agriculture,1.35,386,0.386,0409,1995,-1.000515
"Animal guts, except fish",0504 HS92,$9.52M,$1.31B,0.441,Agriculture,9.52,1310,1.31,0504,1995,-0.7542512
